year,mode,ave_distance_per_trip
2004,MRT,11.5
2004,LRT,0
2004,Bus,5.2
2004,Taxi,8.5
2005,MRT,11.5
2005,LRT,0
2005,Bus,5.4
2005,Taxi,8.8
2006,MRT,11.3
2006,LRT,0
2006,Bus,5.3
2006,Taxi,9.1
2007,MRT,11.2
2007,LRT,0
2007,Bus,5.3
2007,Taxi,9.7
2008,MRT,11.2
2008,LRT,2.1
2008,Bus,5.3
2008,Taxi,9
2009,MRT,10.8
2009,LRT,2.1
2009,Bus,5.1
2009,Taxi,9
2010,MRT,10.3
2010,LRT,2.1
2010,Bus,4.8
2010,Taxi,9.3
2011,MRT,10
2011,LRT,2
2011,Bus,4.5
2011,Taxi,9.6
2012,MRT,9.6
2012,LRT,1
2012,Bus,4.4
2012,Taxi,9.7
2013,MRT,9.5
2013,LRT,2
2013,Bus,4.3
2013,Taxi,9.8
2014,MRT,9.2
2014,LRT,2
2014,Bus,4.3
2014,Taxi,10
