BUS_STOP_N,BUS_ROOF_N,LOC_DESC,geometry,index_right,OBJECTID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,CA_IND,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR,SHAPE_Leng,SHAPE_Area
1012,B03,HOTEL GRAND PACIFIC,POINT (30140.80420233496 31031.95140218735),58,59,10,VICTORIA,RCSZ10,Y,ROCHOR,RC,CENTRAL REGION,CR,DD1436D810825828,2014-12-05,30189.2101,31335.7252,2093.77023342,214250.298128
1013,B05,ST JOSEPH'S CH,POINT (30218.75200215355 31126.48700244725),58,59,10,VICTORIA,RCSZ10,Y,ROCHOR,RC,CENTRAL REGION,CR,DD1436D810825828,2014-12-05,30189.2101,31335.7252,2093.77023342,214250.298128
1019,B04,BRAS BASAH CPLX,POINT (30187.76950004976 31034.55420283787),57,58,1,BUGIS,DTSZ01,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,E042FEB6C937D5A5,2014-12-05,30528.3347,31278.4644,2658.88164763,280174.766696
1029,B07,OPP NATL LIB,POINT (30345.82640265487 31007.64460034296),57,58,1,BUGIS,DTSZ01,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,E042FEB6C937D5A5,2014-12-05,30528.3347,31278.4644,2658.88164763,280174.766696
1039,B09,BUGIS CUBE,POINT (30471.07559711393 31175.63269909471),57,58,1,BUGIS,DTSZ01,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,E042FEB6C937D5A5,2014-12-05,30528.3347,31278.4644,2658.88164763,280174.766696
1059,B08,BUGIS STN EXIT A,POINT (30570.37110291328 31494.54780267179),57,58,1,BUGIS,DTSZ01,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,E042FEB6C937D5A5,2014-12-05,30528.3347,31278.4644,2658.88164763,280174.766696
1109,TMNL,QUEEN ST TER,POINT (30603.5596016543 31759.58199746162),98,99,4,ROCHOR CANAL,RCSZ04,Y,ROCHOR,RC,CENTRAL REGION,CR,6DFA7E9068F7B4CE,2014-12-05,30693.783,31819.1316,1686.00945279,120171.321214
1112,B07,OPP BUGIS JUNCTION,POINT (30434.45541529916 31386.44755810685),58,59,10,VICTORIA,RCSZ10,Y,ROCHOR,RC,CENTRAL REGION,CR,DD1436D810825828,2014-12-05,30189.2101,31335.7252,2093.77023342,214250.298128
1113,B09,BUGIS STN EXIT B,POINT (30542.32730036043 31509.91389692761),57,58,1,BUGIS,DTSZ01,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,E042FEB6C937D5A5,2014-12-05,30528.3347,31278.4644,2658.88164763,280174.766696
1119,B06,BUGIS JUNCTION,POINT (30422.01520194206 31320.01729918085),57,58,1,BUGIS,DTSZ01,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,E042FEB6C937D5A5,2014-12-05,30528.3347,31278.4644,2658.88164763,280174.766696
1121,B11,STAMFORD PR SCH,POINT (30834.09230316244 31818.72510236688),98,99,4,ROCHOR CANAL,RCSZ04,Y,ROCHOR,RC,CENTRAL REGION,CR,6DFA7E9068F7B4CE,2014-12-05,30693.783,31819.1316,1686.00945279,120171.321214
1129,B10,OPP STAMFORD PR SCH,POINT (30815.56099806074 31757.25030276552),95,96,5,KAMPONG GLAM,RCSZ05,Y,ROCHOR,RC,CENTRAL REGION,CR,DCC789993ED54477,2014-12-05,30934.989,31623.1483,1681.62699512,171334.391974
1139,B11,PARKVIEW SQ,POINT (30657.96979808249 31414.26910024695),57,58,1,BUGIS,DTSZ01,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,E042FEB6C937D5A5,2014-12-05,30528.3347,31278.4644,2658.88164763,280174.766696
1211,B13,OPP BLK 461,POINT (31032.69765818678 31986.51577932388),99,100,9,CRAWFORD,KLSZ09,N,KALLANG,KL,CENTRAL REGION,CR,97A1E6DEEC6C442D,2014-12-05,31396.8906,31457.287,4634.78429572,850853.913774
1219,B12,BLK 461,POINT (31053.23068655375 31959.8649393823),99,100,9,CRAWFORD,KLSZ09,N,KALLANG,KL,CENTRAL REGION,CR,97A1E6DEEC6C442D,2014-12-05,31396.8906,31457.287,4634.78429572,850853.913774
1229,B13,BEF SULTAN MQUE,POINT (30923.57450218685 31744.43519988284),95,96,5,KAMPONG GLAM,RCSZ05,Y,ROCHOR,RC,CENTRAL REGION,CR,DCC789993ED54477,2014-12-05,30934.989,31623.1483,1681.62699512,171334.391974
1231,NIL,OPP TEXTILE CTR,POINT (31087.54720045161 31743.54679850675),95,96,5,KAMPONG GLAM,RCSZ05,Y,ROCHOR,RC,CENTRAL REGION,CR,DCC789993ED54477,2014-12-05,30934.989,31623.1483,1681.62699512,171334.391974
1239,B01,SULTAN PLAZA,POINT (31152.54520250857 31688.08460114524),99,100,9,CRAWFORD,KLSZ09,N,KALLANG,KL,CENTRAL REGION,CR,97A1E6DEEC6C442D,2014-12-05,31396.8906,31457.287,4634.78429572,850853.913774
