YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2021-02,WEEKENDS/HOLIDAY,11,TRAIN,NS7,1635,1588
2021-02,WEEKDAY,11,TRAIN,NS7,2333,1674
2021-02,WEEKENDS/HOLIDAY,16,TRAIN,SW4,521,506
2021-02,WEEKDAY,16,TRAIN,SW4,969,1582
2021-02,WEEKDAY,10,TRAIN,CC5,1233,3146
2021-02,WEEKENDS/HOLIDAY,10,TRAIN,CC5,662,1295
2021-02,WEEKENDS/HOLIDAY,13,TRAIN,CC23,1159,1205
2021-02,WEEKDAY,13,TRAIN,CC23,7979,7671
2021-02,WEEKENDS/HOLIDAY,22,TRAIN,EW33,364,588
2021-02,WEEKDAY,22,TRAIN,EW33,907,875
2021-02,WEEKDAY,14,TRAIN,CC21,6284,6503
2021-02,WEEKENDS/HOLIDAY,14,TRAIN,CC21,3459,3229
2021-02,WEEKDAY,18,TRAIN,EW24/NS1,144783,109229
2021-02,WEEKENDS/HOLIDAY,18,TRAIN,EW24/NS1,36255,35825
2021-02,WEEKDAY,7,TRAIN,NE10,16375,28245
2021-02,WEEKENDS/HOLIDAY,7,TRAIN,NE10,2661,2052
2021-02,WEEKENDS/HOLIDAY,8,TRAIN,EW22,1435,1449
2021-02,WEEKDAY,8,TRAIN,EW22,7635,41138
2021-02,WEEKDAY,14,TRAIN,CC16,7665,6255
2021-02,WEEKENDS/HOLIDAY,14,TRAIN,CC16,2562,2433
2021-02,WEEKENDS/HOLIDAY,10,TRAIN,EW11,4272,5111
2021-02,WEEKDAY,10,TRAIN,EW11,9706,12456
2021-02,WEEKDAY,6,TRAIN,NS24/NE6/CC1,2653,7232
2021-02,WEEKENDS/HOLIDAY,6,TRAIN,NS24/NE6/CC1,816,1636
2021-02,WEEKDAY,0,TRAIN,EW19,50,241
2021-02,WEEKENDS/HOLIDAY,0,TRAIN,EW19,22,128
2021-02,WEEKDAY,10,TRAIN,CC22/EW21,8701,13309
2021-02,WEEKENDS/HOLIDAY,10,TRAIN,CC22/EW21,4400,4142
2021-02,WEEKENDS/HOLIDAY,8,TRAIN,CC8,1835,1297
2021-02,WEEKDAY,8,TRAIN,CC8,9284,6395
2021-02,WEEKENDS/HOLIDAY,17,TRAIN,NE7/DT12,12846,12155
2021-02,WEEKDAY,17,TRAIN,NE7/DT12,27393,18776
2021-02,WEEKENDS/HOLIDAY,17,TRAIN,EW33,1522,1016
2021-02,WEEKDAY,17,TRAIN,EW33,7461,1025
2021-02,WEEKENDS/HOLIDAY,22,TRAIN,NS28,462,87
2021-02,WEEKDAY,22,TRAIN,NS28,623,132
2021-02,WEEKDAY,0,TRAIN,DT10,9,34
2021-02,WEEKENDS/HOLIDAY,0,TRAIN,DT10,3,24
2021-02,WEEKDAY,10,TRAIN,EW16/NE3,15099,22165
2021-02,WEEKENDS/HOLIDAY,10,TRAIN,EW16/NE3,4488,5244
2021-02,WEEKDAY,9,TRAIN,CC14,6726,4476
2021-02,WEEKENDS/HOLIDAY,9,TRAIN,CC14,2393,1031
2021-02,WEEKENDS/HOLIDAY,14,TRAIN,EW27,18292,17391
2021-02,WEEKDAY,14,TRAIN,EW27,27173,33842
2021-02,WEEKENDS/HOLIDAY,0,TRAIN,NS27/CE2,2,25
2021-02,WEEKDAY,0,TRAIN,NS27/CE2,11,56
2021-02,WEEKENDS/HOLIDAY,18,TRAIN,DT27,2334,2124
2021-02,WEEKDAY,18,TRAIN,DT27,20472,8139
2021-02,WEEKENDS/HOLIDAY,7,TRAIN,BP10,887,409
2021-02,WEEKDAY,7,TRAIN,BP10,9977,3111
