SUBZONE_N,BUS_TAP_IN_TAP_OUT_VOLUME_WEEKDAY_PEAK,BUS_TAP_IN_TAP_OUT_VOLUME_PEAK,BUS_TAP_IN_TAP_OUT_VOLUME_WEEKDAY,BUS_TAP_IN_TAP_OUT_VOLUME_WEEKLY,BUS_PEAK_HOUR_PERCENTAGE (%),BUS_WEEKDAY_PERCENTAGE (%),MRT_TAP_IN_TAP_OUT_VOLUME_WEEKDAY_PEAK,MRT_TAP_IN_TAP_OUT_VOLUME_PEAK,MRT_TAP_IN_TAP_OUT_VOLUME_WEEKDAY,MRT_TAP_IN_TAP_OUT_VOLUME_WEEKLY,MRT_PEAK_HOUR_PERCENTAGE (%),MRT_WEEKDAY_PERCENTAGE (%),TAP_IN_TAP_OUT_VOLUME_WEEKDAY_PEAK,TAP_IN_TAP_OUT_VOLUME_PEAK,TAP_IN_TAP_OUT_VOLUME_WEEKDAY,TAP_IN_TAP_OUT_VOLUME_WEEKLY,PEAK_HOUR_PERCENTAGE (%),WEEKDAY_PERCENTAGE (%),"('2020', 'Male Percentage')","('2020', '00 - 19')","('2020', '20 - 39')","('2020', '40 - 59')","('2020', '60 & Over')","('2020', 'Average Income')"
ALJUNIED,272101.0,1524723.0,1602735.0,9329329.0,16.34332972928707,85.89765673394089,205135.0,1125054.0,1067636.0,6124951.0,18.368375518432718,87.15465642092484,477236.0,2649777.0,2670371.0,15454280.0,17.14591038857844,86.39583985795521,0.49362340585146286,6150,10720,12170,10940,11730.102219927723
ANAK BUKIT,78683.0,435307.0,478669.0,2742579.0,15.872177246307217,87.2662191317005,68900.0,383243.0,371088.0,2167239.0,17.68346730563634,85.61307728404665,147583.0,818550.0,849757.0,4909818.0,16.671697403040195,86.53650705586236,0.4741655235482396,4280,5660,6190,5750,19739.484317343173
ANCHORVALE,80421.0,443213.0,542681.0,3076215.0,14.407738080725826,88.20596089675136,42201.0,231522.0,269032.0,1520656.0,15.225139676560643,88.45919129638787,122622.0,674735.0,811713.0,4596871.0,14.678136497630671,88.28973012294668,0.4925187032418953,13550,14460,13710,6410,10559.805070656692
BEDOK NORTH,514937.0,2876278.0,3408440.0,19588547.0,14.683467844756429,87.0008377854672,185128.0,1020027.0,1017300.0,5883659.0,17.336609752536646,86.45130521670274,700065.0,3896305.0,4425740.0,25472206.0,15.296299817927038,86.87390483572565,0.4850928641251222,13230,20760,24610,23260,8815.353974689766
BEDOK RESERVOIR,107940.0,598335.0,651821.0,3731588.0,16.034326404737072,87.33828600585059,47536.0,256282.0,226403.0,1280495.0,20.014291348267662,88.40448420337448,155476.0,854617.0,878224.0,5012083.0,17.051134229022146,87.61068003063797,0.48998822143698467,5280,6820,7960,5420,12406.95080676899
BEDOK SOUTH,149927.0,829600.0,932160.0,5295720.0,15.665480803365737,88.01069542951667,88197.0,478234.0,450894.0,2541626.0,18.816064991466092,88.70187824644539,238124.0,1307834.0,1383054.0,7837346.0,16.687205081924418,88.23484378512828,0.48265524625267664,7580,11490,13700,13930,14164.927630157701
BENCOOLEN,12915.0,72284.0,87232.0,511119.0,14.142303455751009,85.33433505700238,42796.0,234033.0,255087.0,1464058.0,15.9852273612111,87.11642571537466,55711.0,306317.0,342319.0,1975177.0,15.508331658377958,86.65527190727717,0.4732824427480916,160,330,430,410,8917.41935483871
BENDEMEER,120418.0,662774.0,723863.0,4135569.0,16.026186481231484,87.51673590744103,131355.0,716403.0,686054.0,3907184.0,18.33553270078911,87.79392012252302,251773.0,1379177.0,1409917.0,8042753.0,17.148071064721247,87.65139250204501,0.48549374500931597,6490,10320,10540,10210,9484.91264243082
BIDADARI,17768.0,95126.0,86725.0,483325.0,19.68158071690891,89.71706408731185,71605.0,383924.0,386641.0,2136780.0,17.967408904987877,90.47281423450238,89373.0,479050.0,473366.0,2620105.0,18.28361840460592,90.333402668977,,0,0,0,0,
BOON KENG,56628.0,317984.0,345022.0,2011006.0,15.812185542957106,85.78343376399673,59262.0,332338.0,314175.0,1862237.0,17.84617102978837,84.35419337066119,115890.0,650322.0,659197.0,3873243.0,16.790116189456743,85.09626171143923,0.4775233248515691,1770,2970,3450,3630,7840.828644501279
