OBJECTID_left,STN_NAME,STN_NO,geometry,index_right,OBJECTID_right,SUBZONE_NO,SUBZONE_N,SUBZONE_C,CA_IND,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR,SHAPE_Leng,SHAPE_Area
12,ADMIRALTY MRT STATION,NS10,POINT (24402.1063000001 46918.11309999973),289,290,3,WOODLANDS EAST,WDSZ03,N,WOODLANDS,WD,NORTH REGION,NR,C90769E43EE6B0F2,2014-12-05,24506.6375,46991.63,6603.60830097,2553463.72392
16,ALJUNIED MRT STATION,EW9,POINT (33518.60489999969 33190.00200000033),162,163,4,ALJUNIED,GLSZ04,N,GEYLANG,GL,CENTRAL REGION,CR,83AFAB768B6B2B66,2014-12-05,33592.5759,32970.8301,7100.69907893,2959367.62528
17,ANG MO KIO MRT STATION,NS16,POINT (29848.98359999992 39040.9896000009),247,248,2,CHENG SAN,AMSZ02,N,ANG MO KIO,AM,NORTH-EAST REGION,NER,504511A82C516D62,2014-12-05,30312.1923,39413.3478,4218.95806162,955710.188701
33,ANG MO KIO MRT STATION,NS16,POINT (29807.26549999975 39105.77199999988),247,248,2,CHENG SAN,AMSZ02,N,ANG MO KIO,AM,NORTH-EAST REGION,NER,504511A82C516D62,2014-12-05,30312.1923,39413.3478,4218.95806162,955710.188701
81,BAKAU LRT STATION,SE3,POINT (36026.08210000023 41113.87659999914),259,260,2,RIVERVALE,SESZ02,N,SENGKANG,SE,NORTH-EAST REGION,NER,986666487FF7CF78,2014-12-05,35977.6113,41060.8024,6315.95441659,1569034.7842
80,BANGKIT LRT STATION,BP9,POINT (21248.24600000028 40220.9693),209,210,4,BANGKIT,BPSZ04,N,BUKIT PANJANG,BP,WEST REGION,WR,434BCF269E20F681,2014-12-05,21431.2286,39899.5272,4350.13572206,763183.429445
153,BARTLEY MRT STATION,CC12,POINT (33168.30389999971 36108.70030000061),161,162,10,BIDADARI,TPSZ10,N,TOA PAYOH,TP,CENTRAL REGION,CR,B522727043B8AF0C,2014-12-05,32632.5394,35918.015,3323.74283763,572502.13978
115,BAYFRONT MRT STATION,DT16 / CE1,POINT (30867.00930000003 29368.625),40,41,12,BAYFRONT SUBZONE,DTSZ12,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,197F5E664DA4D5E1,2014-12-05,30806.2418,29530.167,2897.12642569,521200.522376
140,BEAUTY WORLD MRT STATION,DT5,POINT (21598.16650000028 35931.23589999974),210,211,1,ANAK BUKIT,BTSZ01,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,22AC7070AFD473BD,2014-12-05,21127.1918,35561.884,7637.80947893,2768353.55736
37,BEDOK MRT STATION,EW5,POINT (38757.95199999958 34024.70480000041),198,199,4,BEDOK NORTH,BDSZ04,N,BEDOK,BD,EAST REGION,ER,A2254301F85C1EDF,2014-12-05,39429.2104,34737.6194,8414.96210185,3203663.49324
143,BEDOK NORTH MRT STATION,DT29,POINT (37421.74380000029 35214.68040000089),148,149,1,KAKI BUKIT,BDSZ01,N,BEDOK,BD,EAST REGION,ER,0E5F89C6D8042867,2014-12-05,36485.3951,35307.0408,8153.88813505,2820171.67856
149,BEDOK RESERVOIR MRT STATION,DT30,POINT (39008.31319999974 35421.04089999944),152,153,2,BEDOK RESERVOIR,BDSZ02,N,BEDOK,BD,EAST REGION,ER,F3CEF1310CE15C52,2014-12-05,38351.1166,35800.6076,6899.52590019,2379331.52887
100,BENCOOLEN MRT STATION,DT21,POINT (29899.2575000003 31247.3367999997),58,59,10,VICTORIA,RCSZ10,Y,ROCHOR,RC,CENTRAL REGION,CR,DD1436D810825828,2014-12-05,30189.2101,31335.7252,2093.77023342,214250.298128
99,BENDEMEER MRT STATION,DT23,POINT (31300.80840000045 32884.73819999956),132,133,8,KALLANG BAHRU,KLSZ08,N,KALLANG,KL,CENTRAL REGION,CR,F605DD67E5154CFB,2014-12-05,31579.2889,32929.5276,3710.90460199,839488.977186
109,BISHAN MRT STATION,CC15,POINT (29762.3507000003 37046.36989999935),180,181,3,BISHAN EAST,BSSZ03,N,BISHAN,BS,CENTRAL REGION,CR,54980EC3DD176721,2014-12-05,30191.9092,36882.1939,5680.71940217,1794461.26208
158,BISHAN MRT STATION,NS17,POINT (29649.89879999962 36994.43300000019),180,181,3,BISHAN EAST,BSSZ03,N,BISHAN,BS,CENTRAL REGION,CR,54980EC3DD176721,2014-12-05,30191.9092,36882.1939,5680.71940217,1794461.26208
178,BOON KENG MRT STATION,NE9,POINT (31157.07120000012 33517.60889999941),108,109,1,BENDEMEER,KLSZ01,N,KALLANG,KL,CENTRAL REGION,CR,69C9F7CD6F08EA3A,2014-12-05,31175.9571,33827.9445,5603.00091056,1376830.04527
34,BOON LAY MRT STATION,EW27,POINT (13837.98269999959 35641.91909999959),151,152,9,JURONG WEST CENTRAL,JWSZ09,N,JURONG WEST,JW,WEST REGION,WR,1D90F8ED7A36C82C,2014-12-05,13396.6261,35811.7261,4649.79715009,1404536.64286
159,BOTANIC GARDENS MRT STATION,DT9,POINT (26087.26630000025 33852.44840000011),163,164,4,TYERSALL,TNSZ04,N,TANGLIN,TN,CENTRAL REGION,CR,DAC6AB8C67377C3B,2014-12-05,25732.6536,32985.8494,6430.98614739,2158289.71575
185,BOTANIC GARDENS MRT STATION,CC19,POINT (25959.40460000001 33817.75249999948),163,164,4,TYERSALL,TNSZ04,N,TANGLIN,TN,CENTRAL REGION,CR,DAC6AB8C67377C3B,2014-12-05,25732.6536,32985.8494,6430.98614739,2158289.71575
182,BRADDELL MRT STATION,NS18,POINT (29500.09719999973 35848.06870000064),147,148,1,TOA PAYOH WEST,TPSZ01,N,TOA PAYOH,TP,CENTRAL REGION,CR,F09D85529E92E6F5,2014-12-05,28943.1923,35787.3478,4516.83996636,1037281.09446
93,BRAS BASAH MRT STATION,CC2,POINT (29930.76740000024 31025.90159999952),45,46,3,BRAS BASAH,MUSZ03,Y,MUSEUM,MU,CENTRAL REGION,CR,5A1130F73E65C2D7,2014-12-05,29793.0931,30958.0952,2348.65717267,223206.603187
183,BUANGKOK MRT STATION,NE15,POINT (34655.31319999974 40537.20690000057),225,226,5,COMPASSVALE,SESZ05,N,SENGKANG,SE,NORTH-EAST REGION,NER,380E7DCFD2E09905,2014-12-05,34304.2505,40761.0908,5216.01738046,1093213.49087
103,BUGIS MRT STATION,DT14,POINT (30620.87689999957 31323.24950000085),57,58,1,BUGIS,DTSZ01,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,E042FEB6C937D5A5,2014-12-05,30528.3347,31278.4644,2658.88164763,280174.766696
111,BUGIS MRT STATION,EW12,POINT (30491.56479999982 31424.35029999912),58,59,10,VICTORIA,RCSZ10,Y,ROCHOR,RC,CENTRAL REGION,CR,DD1436D810825828,2014-12-05,30189.2101,31335.7252,2093.77023342,214250.298128
32,BUKIT BATOK MRT STATION,NS2,POINT (18679.35410000011 36795.01410000026),174,175,7,BUKIT BATOK CENTRAL,BKSZ07,N,BUKIT BATOK,BK,WEST REGION,WR,4CE31051AB87CA5E,2014-12-05,18773.5578,36680.0524,3782.82695881,800298.564475
117,BUKIT BROWN MRT STATION,CC18,POINT (27707.41660000011 35102.48020000011),154,155,5,MOUNT PLEASANT,NVSZ05,N,NOVENA,NV,CENTRAL REGION,CR,F910FC998DE2CB15,2014-12-05,27515.3125,35112.6183,7234.11074506,3142950.10821
35,BUKIT GOMBAK MRT STATION,NS3,POINT (18938.33050000016 37870.6512000002),184,185,4,GUILIN,BKSZ04,N,BUKIT BATOK,BK,WEST REGION,WR,1EC9354628DA67BE,2014-12-05,19151.8276,37505.9793,5564.33323058,1085080.08317
