REGION_N,REGION_C,PLN_AREA_N,PLN_AREA_C,SUBZONE_N,2020,2020,2020,2020,2020,2020,2019,2019,2019,2019,2019,2019,2018,2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2017,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2014,2014,2014,2014,2014,2014,2013,2013,2013,2013,2013,2013,2012,2012,2012,2012,2012,2012,2011,2011,2011,2011,2011,2011
,,,,,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income
NORTH-EAST REGION,NER,ANG MO KIO,AM,ANG MO KIO TOWN CENTRE,0.4698544698544699,1010,1170,1560,1080,14031.76569037657,0.46680497925311204,1030,1160,1590,1030,13907.732217573222,0.46887966804979253,1050,1160,1590,1020,13743.987447698744,0.4716599190283401,1090,1260,1590,1000,13602.922448979592,0.4718875502008032,1120,1290,1600,970,13539.979797979799,0.47305389221556887,1140,1360,1580,940,13361.839357429719,0.4768611670020121,1150,1370,1560,910,13198.447154471545,0.47648261758691207,1120,1420,1490,860,12945.097308488614,0.48148148148148145,1150,1440,1460,820,12855.532091097308,0.482897384305835,1200,1510,1450,800,12897.058823529413
NORTH-EAST REGION,NER,ANG MO KIO,AM,CHENG SAN,0.48005698005698005,4300,7190,8440,8150,6985.963532356096,0.47977288857345635,4340,7380,8510,7980,6986.915568222302,0.4786294595549276,4460,7510,8590,7750,6973.5707697765165,0.4820169252468265,4630,7580,8770,7370,6980.914569301666,0.48279421885753615,4900,7980,9010,7180,6979.994465582843,0.48370843130668456,5160,8380,9290,6950,6974.590141796084,0.48585526315789473,5400,8730,9540,6730,6957.848544973545,0.48495632481397605,5590,9150,9730,6430,6931.585825747724,0.48549323017408125,5660,9430,9750,6190,6878.401296596435,0.4873921698739217,5530,9170,9660,5790,6732.12291249165
NORTH-EAST REGION,NER,ANG MO KIO,AM,CHONG BOON,0.4852830188679245,3770,6540,7610,8580,6783.663846153846,0.4865771812080537,3920,6700,7840,8380,6751.1017463933185,0.48707533234859673,4050,6900,8020,8130,6707.572932330827,0.48522259633370746,4110,6810,8140,7700,6623.310993975903,0.4859882005899705,4280,7050,8290,7520,6602.594574507618,0.4870967741935484,4560,7400,8630,7330,6609.765088543549,0.48778785764131194,4850,7840,8880,7090,6607.232230823364,0.49120992761116855,4990,8100,9060,6860,6609.915767490428,0.4894772572980312,5220,8390,9230,6630,6608.470910335387,0.4896182183523108,5440,8730,9370,6310,6616.331192970598
NORTH-EAST REGION,NER,ANG MO KIO,AM,KEBUN BAHRU,0.47105612019443216,3430,5450,6920,6830,8393.957123715945,0.47104919460165434,3680,5510,7090,6690,8319.79234491861,0.47322594688724423,3690,5550,7220,6510,8054.120651695289,0.47810703228659884,3590,5550,7090,6390,7347.398119122257,0.4774774774774775,3830,5840,7410,6220,7328.784194528876,0.47887913007109995,4110,6170,7550,6100,7294.472480948349,0.4820700896495517,4300,6540,7790,5920,7249.231848184819,0.4848121502797762,4560,6760,7920,5790,7234.456055083029,0.4841897233201581,4700,7000,8020,5580,7255.289547456949,0.48443579766536965,4880,7310,8150,5360,7259.891167192429
NORTH-EAST REGION,NER,ANG MO KIO,AM,SEMBAWANG HILLS,0.4679300291545189,1380,1660,2010,1800,25829.952802359883,0.4670571010248902,1380,1680,2050,1750,25853.78402366864,0.46449704142011833,1390,1660,2080,1660,25917.889552238805,0.46911764705882353,1450,1660,2070,1630,25934.741071428572,0.46888567293777134,1540,1660,2120,1580,25920.556368960468,0.4702467343976778,1570,1630,2160,1550,25928.451612903227,0.47016011644832606,1570,1650,2170,1470,25936.191176470587,0.4732272069464544,1680,1630,2180,1430,25928.64128843338,0.4703328509406657,1730,1640,2180,1350,25928.64128843338,0.4731494920174166,1750,1650,2180,1330,25919.746686303388
NORTH-EAST REGION,NER,ANG MO KIO,AM,SHANGRI-LA,0.487468671679198,2460,3850,4810,4840,6554.833962264151,0.48819875776397514,2500,3950,4940,4720,6531.308411214954,0.4897342995169082,2640,4130,5140,4640,6475.166565717746,0.4886904761904762,2770,4150,5310,4590,6340.594982078853,0.4900624645088018,3070,4450,5560,4540,6297.887179487179,0.49135135135135133,3420,4820,5840,4450,6317.425474254743,0.49035956227201666,3700,5130,6030,4330,6269.81684981685,0.4898851831601968,3420,4850,5900,4150,6280.361141602634,0.49073064340239914,3430,4950,5990,4000,6309.574794520548,0.4903321764997521,3830,5550,6520,4260,6403.795714997509
NORTH-EAST REGION,NER,ANG MO KIO,AM,TAGORE,0.4767295597484277,1370,2080,2270,2240,24274.187902187903,0.4782608695652174,1460,2120,2380,2110,24289.562025316456,0.4796547472256473,1520,2180,2460,1980,24298.165621079046,0.47724477244772445,1570,2190,2500,1860,24307.290726817042,0.4765906362545018,1680,2310,2610,1760,24285.004901960783,0.47784431137724553,1730,2290,2660,1670,24278.23774509804,0.4772727272727273,1780,2280,2730,1590,24273.657282741737,0.4792682926829268,1820,2230,2690,1450,24274.49689440994,0.48221343873517786,1700,2020,2530,1360,24601.321668909826,0.48214285714285715,1680,1920,2430,1250,24704.56862745098
NORTH-EAST REGION,NER,ANG MO KIO,AM,TOWNSVILLE,0.46972563859981076,3270,5010,6150,6720,7327.250829777146,0.47132867132867134,3390,5170,6260,6640,7310.297613476837,0.471689497716895,3540,5470,6440,6470,7302.553620531622,0.4706919347730278,3790,5860,6690,6370,7297.760283060593,0.4727350794332332,4020,6200,6850,6220,7281.1154177433245,0.4753891459823307,4190,6530,7010,6040,7262.0582278481015,0.4749482401656315,4330,6850,7090,5900,7258.652535328346,0.47509263071222724,4400,7020,7120,5750,7242.23305785124,0.4763666255651459,4430,7210,7130,5580,7242.498555509699,0.4776586237712243,4040,6850,6560,4950,7143.921005385996
