SUBZONE_N,PLN_AREA_N,REGION_C,region_pln,region_pln_subzone,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,Year
ANG MO KIO TOWN CENTRE,ANG MO KIO,NER,NER_ANG MO KIO,NER_ANG MO KIO_ANG MO KIO TOWN CENTRE,0.4698544698544699,1010,1170,1560,1080,14031.76569037657,2020-12-31
ANG MO KIO TOWN CENTRE,ANG MO KIO,NER,NER_ANG MO KIO,NER_ANG MO KIO_ANG MO KIO TOWN CENTRE,0.466804979253112,1030,1160,1590,1030,13907.732217573222,2019-12-31
ANG MO KIO TOWN CENTRE,ANG MO KIO,NER,NER_ANG MO KIO,NER_ANG MO KIO_ANG MO KIO TOWN CENTRE,0.4688796680497925,1050,1170,1560,1080,13743.987447698744,2018-12-31
ANG MO KIO TOWN CENTRE,ANG MO KIO,NER,NER_ANG MO KIO,NER_ANG MO KIO_ANG MO KIO TOWN CENTRE,0.4716599190283401,1090,1170,1560,1080,13602.922448979592,2017-12-31
ANG MO KIO TOWN CENTRE,ANG MO KIO,NER,NER_ANG MO KIO,NER_ANG MO KIO_ANG MO KIO TOWN CENTRE,0.4718875502008032,1120,1170,1560,1080,13539.9797979798,2016-12-31
ANG MO KIO TOWN CENTRE,ANG MO KIO,NER,NER_ANG MO KIO,NER_ANG MO KIO_ANG MO KIO TOWN CENTRE,0.4730538922155689,1140,1170,1560,1080,13361.839357429719,2015-12-31
ANG MO KIO TOWN CENTRE,ANG MO KIO,NER,NER_ANG MO KIO,NER_ANG MO KIO_ANG MO KIO TOWN CENTRE,0.4768611670020121,1150,1170,1560,1080,13198.447154471543,2014-12-31
ANG MO KIO TOWN CENTRE,ANG MO KIO,NER,NER_ANG MO KIO,NER_ANG MO KIO_ANG MO KIO TOWN CENTRE,0.4764826175869121,1120,1170,1560,1080,12945.097308488614,2013-12-31
ANG MO KIO TOWN CENTRE,ANG MO KIO,NER,NER_ANG MO KIO,NER_ANG MO KIO_ANG MO KIO TOWN CENTRE,0.4814814814814815,1150,1170,1560,1080,12855.532091097308,2012-12-31
ANG MO KIO TOWN CENTRE,ANG MO KIO,NER,NER_ANG MO KIO,NER_ANG MO KIO_ANG MO KIO TOWN CENTRE,0.482897384305835,1200,1170,1560,1080,12897.05882352941,2011-12-31
