Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,Year
0.488985488,803440,1128860,1212930,1212930,11175,31/12/2020
0.489139911,813290,1131540,1220880,1220880,11130,31/12/2019
0.489658988,817650,1132270,1224840,1224840,11071,31/12/2018
0.490077664,827450,1129570,1229430,1229430,10985,31/12/2017
0.490530207,835940,1128380,1229820,1229820,10890,31/12/2016
0.491104853,845320,1126850,1230320,1230320,10819,31/12/2015
0.491484832,855300,1123900,1228440,1228440,10774,31/12/2014
0.491969569,870310,1124880,1222980,1222980,10742,31/12/2013
0.492390413,885170,1128460,1211950,1211950,10718,31/12/2012
0.493018407,897650,1131400,1199410,1199410,10702,31/12/2011
