"BUS_STOP_N,C,65","BUS_ROOF_N,C,10","LOC_DESC,C,254"
78221,B06,BLK 231A CP
63359,B01,HOUGANG SWIM CPLX
64141,B13,AFT JLN TELAWI
83139,B07,AFT JOO CHIAT PL
55231,B02,OPP SBST ANG MO KIO DEPOT
55351,B03,OPP FUDU WALK P/G
92089,B10,CHIJ KATONG CON
80271,B06,OPP MOUNBATTEN STN
82059,B02,OPP TG KATONG RD STH P/G
97089,B02,OPP SELARANG PK DRUG REH.
77099,B06,BEF PASIR RIS AVE
08137,B08,ORCHARD PLAZA
43301,B02,OPP HILLBROOKS
49249,B08,AFT NEO TIEW RD
16051,B25,THE CRYSTAL TABERNACLE CH
98099,B02,BLK 269A
58019,B22,AFT SEMBAWANG SHOP CTR
08111,B03,WINSLAND HSE
75201,B01,BLK 835
20251,B01,BEF TEBAN GDNS RD
68131,B09,OPP YOUTH FLYING CLUB
11101,B09,FARRER RD MKT
14281,B06,SAFRA MT FABER
55509,NIL,YIO CHU KANG INT
50059,B10,OPP THOMSON MED CTR
62109,B09,AFT UPP S'GOON RD
15109,B07,LP 30
25379,NIL,AFT TUAS AVE 6
45101,B25,AFT LP 234
42039,B30,OPP THE NEXUS
64121,B19,AFT ANG MO KIO AVE 5
54201,B05,OPP BLK 155
93089,B04,OPP GOODWILL CT
51069,B22,MT ALVERNIA HOSP
30059,B15,OPP TRACK 14
94049,B16,AFT BEDOK STH AVE 3
28161,B11,BEF HONG KAH FLYOVER
67659,B03,AFT SENGKANG WEST RD
71101,B01,BLK 318
21421,B03,BLK 176
10659,B02,BLK 1003
09059,B01,NATL YOUTH COUNCIL
54481,B14,ITE COLLEGE CTRL
13031,B06,OPP CHATSWORTH RD
12199,B03,OPP VILLAGE TWRS
28521,B05,BLK 457
21319,B13,OPP TRACTOR RD
65271,B08,OPP BLK 188
10289,B08,OPP SIS BLDG
25509,B02,OPP KEE WEE HUP KEE
01013,B05,ST JOSEPH'S CH
70071,B05,CYCLE & CARRIAGE
15051,B20,ALEXANDRA PT
51029,B14,OPP OLD POLICE ACAD
24011,B26,M.C PACKAGING PTE LTD
67041,B28,OPP THE GREENWICH
46809,NIL,OPP W'LANDS MART
54059,B08,BEF ANG MO KIO LIB
47551,B05,BLK 630
70291,B03,ASIAWIDE IND BLDG
18099,B08,AYER RAJAH BUS PK
67601,NIL,BUANGKOK STN EXIT B
46749,B03,OPP SEAGATE
81199,B02,BEF OLD AIRPORT RD
64029,B10,OPP BLK 458
56061,B29,AFT TAGORE DR
29041,B03,BAN JOO
84011,B01,CHAI CHEE IND PK
44651,B10,BLK 617
60219,B02,BEF SIEMENS CTR
43311,B06,MIDVIEW BLDG
46549,B01,BLK 347
65059,B12,ST ANNE'S CH
16171,B06,YUSOF ISHAK HSE
67469,B01A,BEF SENGKANG EAST AVE
61101,NIL,BLK 120
01239,B01,SULTAN PLAZA
17269,B01,BLK 730
47599,NIL,BLK 683A
11291,B17,COLD STORAGE JELITA
11531,B12,OPP LEA HIN HARDWARE FTY
46529,B05,OPP MARSILING STN
95151,B01,AIRPORT POLICE STN
71169,B01,AZTECH BLDG
27471,B02,CORPORATION PR SCH
43831,B02A,BLK 334
96061,B13,OPP MERA TERR P/G
09011,B01,OPP NGEE ANN CITY
77259,B20,OPP BLK 713
46189,B03,BLK 12
11541,B01,OPP QUEENS
67479,B01,LAYAR STN EXIT A / BLK 417A
85101,B01,AFT BEDOK RD
64129,B20,BLK 988B
10419,B02,BLK 52
78231,B01,OPP BLK 482
63389,B14,OPP XINMIN PR SCH
90021,B06,PEBBLE BAY
