year,level_1,level_2,value
2013,Total,"Total",10503
2013,Total,"Employment Income",8251
2013,Total,"Business Income",1151
2013,Total,"Other Income",1101
2013,HDB Dwellings - Total HDB,"Total",7900
2013,HDB Dwellings - Total HDB,"Employment Income",6664
2013,HDB Dwellings - Total HDB,"Business Income",653
2013,HDB Dwellings - Total HDB,"Other Income",583
2013,HDB Dwellings - 1- & 2-Room Flats,"Total",1906
2013,HDB Dwellings - 1- & 2-Room Flats,"Employment Income",1387
2013,HDB Dwellings - 1- & 2-Room Flats,"Business Income",90
2013,HDB Dwellings - 1- & 2-Room Flats,"Other Income",429
2013,HDB Dwellings - 3-Room Flats,"Total",5130
2013,HDB Dwellings - 3-Room Flats,"Employment Income",4234
2013,HDB Dwellings - 3-Room Flats,"Business Income",363
2013,HDB Dwellings - 3-Room Flats,"Other Income",533
2013,HDB Dwellings - 4-Room Flats,"Total",8088
2013,HDB Dwellings - 4-Room Flats,"Employment Income",6884
2013,HDB Dwellings - 4-Room Flats,"Business Income",654
2013,HDB Dwellings - 4-Room Flats,"Other Income",550
2013,HDB Dwellings - 5-Room & Executive Flats,"Total",11044
2013,HDB Dwellings - 5-Room & Executive Flats,"Employment Income",9371
2013,HDB Dwellings - 5-Room & Executive Flats,"Business Income",993
2013,HDB Dwellings - 5-Room & Executive Flats,"Other Income",680
2013,Condominiums & Other Apartments,"Total",20536
2013,Condominiums & Other Apartments,"Employment Income",15455
2013,Condominiums & Other Apartments,"Business Income",2708
2013,Condominiums & Other Apartments,"Other Income",2373
2013,Landed Properties,"Total",26058
2013,Landed Properties,"Employment Income",15567
2013,Landed Properties,"Business Income",4799
2013,Landed Properties,"Other Income",5692
