financial_year,town_or_estate,population
2008,Ang Mo Kio,148200
2008,Bedok,197900
2008,Bishan,66500
2008,Bukit Batok,109100
2008,Bukit Merah,140600
2008,Bukit Panjang,110100
2008,Bukit Timah,8200
2008,Choa Chu Kang,153000
2008,Central Area,30100
2008,Clementi,72500
2008,Geylang,94700
2008,Hougang,170900
2008,Jurong East,79400
2008,Jurong West,242600
2008,Kallang/Whampoa,101900
2008,Marine Parade,22700
2008,Pasir Ris,107600
2008,Punggol,58700
2008,Queenstown,81700
2008,Sembawang,65000
2008,Sengkang,152400
2008,Serangoon,74700
2008,Tampines,234500
2008,Toa Payoh,102100
2008,Woodlands,225900
2008,Yishun,169100
2008,Total,3020100
2009,Ang Mo Kio,151700
2009,Bedok,201300
2009,Bishan,67400
2009,Bukit Batok,112100
2009,Bukit Merah,147000
2009,Bukit Panjang,113000
2009,Bukit Timah,8900
2009,Choa Chu Kang,155800
2009,Central Area,34100
2009,Clementi,74500
2009,Geylang,96900
2009,Hougang,173500
2009,Jurong East,81000
2009,Jurong West,251200
2009,Kallang/Whampoa,104900
2009,Marine Parade,23500
2009,Pasir Ris,109700
2009,Punggol,59200
2009,Queenstown,85000
2009,Sembawang,67400
2009,Sengkang,156200
2009,Serangoon,75800
2009,Tampines,235800
2009,Toa Payoh,105400
2009,Woodlands,229500
2009,Yishun,173300
2009,Total,3094100
2010,Ang Mo Kio,152800
2010,Bedok,202500
2010,Bishan,67800
2010,Bukit Batok,113100
2010,Bukit Merah,147800
2010,Bukit Panjang,113400
2010,Bukit Timah,8800
2010,Choa Chu Kang,157000
2010,Central Area,33700
2010,Clementi,74400
2010,Geylang,97400
2010,Hougang,174400
2010,Jurong East,80900
2010,Jurong West,253900
2010,Kallang/Whampoa,108300
2010,Marine Parade,23300
2010,Pasir Ris,110000
2010,Punggol,65100
2010,Queenstown,84400
2010,Sembawang,68100
2010,Sengkang,160200
2010,Serangoon,75600
2010,Tampines,237800
2010,Toa Payoh,106700
2010,Woodlands,232800
2010,Yishun,175700
2010,Total,3125900
2011,Ang Mo Kio,154400
2011,Bedok,203800
2011,Bishan,68300
2011,Bukit Batok,113400
2011,Bukit Merah,150800
2011,Bukit Panjang,115800
2011,Bukit Timah,8800
2011,Choa Chu Kang,158600
2011,Central Area,33900
2011,Clementi,76300
2011,Geylang,93700
2011,Hougang,175800
2011,Jurong East,81800
2011,Jurong West,252500
2011,Kallang/Whampoa,107500
2011,Marine Parade,23300
2011,Pasir Ris,110400
2011,Punggol,73900
2011,Queenstown,84500
2011,Sembawang,68100
2011,Sengkang,166300
2011,Serangoon,75700
2011,Tampines,238500
2011,Toa Payoh,107200
2011,Woodlands,234800
2011,Yishun,178800
2011,Total,3156900
2012,Ang Mo Kio,150100
2012,Bedok,203800
2012,Bishan,65400
2012,Bukit Batok,113600
2012,Bukit Merah,146700
2012,Bukit Panjang,116200
2012,Bukit Timah,8800
2012,Choa Chu Kang,158700
2012,Central Area,34100
2012,Clementi,76300
2012,Geylang,94100
2012,Hougang,175900
2012,Jurong East,82000
2012,Jurong West,255800
2012,Kallang/Whampoa,107600
2012,Marine Parade,23300
2012,Pasir Ris,110400
2012,Punggol,83300
2012,Queenstown,81300
2012,Sembawang,68100
2012,Sengkang,170400
2012,Serangoon,75700
2012,Tampines,238500
2012,Toa Payoh,109300
2012,Woodlands,237000
2012,Yishun,179500
2012,Total,3165900
2013,Ang Mo Kio,149600
2013,Bedok,203900
2013,Bishan,65700
2013,Bukit Batok,113700
2013,Bukit Merah,146800
2013,Bukit Panjang,118700
2013,Bukit Timah,8800
2013,Choa Chu Kang,160900
2013,Central Area,34400
2013,Clementi,72200
2013,Geylang,94200
2013,Hougang,179600
2013,Jurong East,80300
2013,Jurong West,259600
2013,Kallang/Whampoa,107200
2013,Marine Parade,23300
2013,Pasir Ris,110600
2013,Punggol,92500
2013,Queenstown,83300
2013,Sembawang,71500
2013,Sengkang,182700
2013,Serangoon,75700
2013,Tampines,238800
2013,Toa Payoh,109900
2013,Woodlands,242900
2013,Yishun,186200
2013,Total,3213000
2014,Ang Mo Kio,149800
2014,Bedok,204300
2014,Bishan,65700
2014,Bukit Batok,113800
2014,Bukit Merah,147000
2014,Bukit Panjang,119300
2014,Bukit Timah,8800
2014,Choa Chu Kang,161100
2014,Central Area,34300
2014,Clementi,72500
2014,Geylang,91900
2014,Hougang,179800
2014,Jurong East,80300
2014,Jurong West,260000
2014,Kallang/Whampoa,105500
2014,Marine Parade,23300
2014,Pasir Ris,111000
2014,Punggol,99500
2014,Queenstown,82100
2014,Sembawang,71600
2014,Sengkang,186500
2014,Serangoon,73000
2014,Tampines,239100
2014,Toa Payoh,107500
2014,Woodlands,243100
2014,Yishun,186600
2014,Total,3217400
2015,Ang Mo Kio,147100
2015,Bedok,200700
2015,Bishan,65300
2015,Bukit Batok,111100
2015,Bukit Merah,145600
2015,Bukit Panjang,121400
2015,Bukit Timah,8400
2015,Choa Chu Kang,160800
2015,Central Area,34000
2015,Clementi,71400
2015,Geylang,91100
2015,Hougang,180000
2015,Jurong East,80400
2015,Jurong West,260100
2015,Kallang/Whampoa,104400
2015,Marine Parade,22500
2015,Pasir Ris,111300
2015,Punggol,118100
2015,Queenstown,81600
2015,Sembawang,72000
2015,Sengkang,201800
2015,Serangoon,71400
2015,Tampines,236900
2015,Toa Payoh,107000
2015,Woodlands,242600
2015,Yishun,187800
2015,Total,3234800
2016,Ang Mo Kio,145700
2016,Bedok,196400
2016,Bishan,64400
2016,Bukit Batok,111500
2016,Bukit Merah,144800
2016,Bukit Panjang,121700
2016,Bukit Timah,8400
2016,Choa Chu Kang,167900
2016,Central Area,30800
2016,Clementi,71900
2016,Geylang,90200
2016,Hougang,180500
2016,Jurong East,79600
2016,Jurong West,260600
2016,Kallang/Whampoa,106500
2016,Marine Parade,22300
2016,Pasir Ris,110200
2016,Punggol,126300
2016,Queenstown,82800
2016,Sembawang,72500
2016,Sengkang,207900
2016,Serangoon,70100
2016,Tampines,234600
2016,Toa Payoh,107100
2016,Woodlands,241900
2016,Yishun,193300
2016,Total,3249900
2017,Ang Mo Kio,143800
2017,Bedok,194700
2017,Bishan,63200
2017,Bukit Batok,114000
2017,Bukit Merah,145700
2017,Bukit Panjang,121100
2017,Bukit Timah,8400
2017,Central Area,27700
2017,Choa Chu Kang,169000
2017,Clementi,72300
2017,Geylang,87300
2017,Hougang,179500
2017,Jurong East,78000
2017,Jurong West,258100
2017,Kallang/Whampoa,106900
2017,Marine Parade,21600
2017,Pasir Ris,108400
2017,Punggol,134100
2017,Queenstown,82500
2017,Sembawang,73500
2017,Sengkang,212100
2017,Serangoon,68800
2017,Tampines,232700
2017,Toa Payoh,105000
2017,Woodlands,242500
2017,Yishun,196600
2018,Ang Mo Kio,141600
2018,Bedok,191300
2018,Bishan,62100
2018,Bukit Batok,115200
2018,Bukit Merah,144300
2018,Bukit Panjang,120100
2018,Bukit Timah,8300
2018,Central Area,27300
2018,Choa Chu Kang,168500
2018,Clementi,71900
2018,Geylang,86900
2018,Hougang,179100
2018,Jurong East,77300
2018,Jurong West,257600
2018,Kallang/Whampoa,106100
2018,Marine Parade,21400
2018,Pasir Ris,107800
2018,Punggol,138700
2018,Queenstown,81800
2018,Sembawang,73800
2018,Sengkang,213200
2018,Serangoon,68000
2018,Tampines,231800
2018,Toa Payoh,104200
2018,Woodlands,242800
2018,Yishun,197300
2019,Ang Mo Kio,138200
2019,Bedok,187900
2019,Bishan,61100
2019,Bukit Batok,121400
2019,Bukit Merah,141400
2019,Bukit Panjang,118900
2019,Bukit Timah,8100
2019,Central Area,27200
2019,Choa Chu Kang,167200
2019,Clementi,69500
2019,Geylang,86000
2019,Hougang,179700
2019,Jurong East,75400
2019,Jurong West,253800
2019,Kallang/Whampoa,105200
2019,Marine Parade,20800
2019,Pasir Ris,106600
2019,Punggol,146900
2019,Queenstown,81200
2019,Sembawang,81500
2019,Sengkang,217700
2019,Serangoon,66800
2019,Tampines,232700
2019,Toa Payoh,103800
2019,Woodlands,243300
2019,Yishun,198500
